display_name,strategy_bucket,active,cnpj,manager,match_status,notes,source_label,subscription_status,subscription_status_source,subscription_status_checked_at,evidence_note
Verde,Multimercados,True,22.187.946/0001-41,Verde Asset,,Formerly CSHG Verde; managed by Verde Asset Management,CSHG Verde,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Itaú Artax,Multimercados,True,42.698.615/0001-83,Itaú Asset,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Absolute Vertex II,Multimercados,True,23.565.803/0001-99,Absolute Investimentos,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Novus Macro,Multimercados,True,14.146.726/0001-41,Novus Capital,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Clave Alpha,Multimercados,True,37.319.496/0001-70,Clave Capital,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Kínitro 30,Multimercados,True,42.731.202/0001-53,Kínitro Capital,matched,,Kinitro 30,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Ace Capital,Multimercados,True,34.774.662/0001-30,Ace Capital,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Legacy Capital,Multimercados,True,32.320.730/0001-66,Legacy Capital,,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Ventor Hedge,Multimercados,True,07.088.369/0001-47,Ventor Investimentos,matched,,,closed,CVM cad_fi (dados.cvm.gov.br/dados/FI/CAD/DADOS/cad_fi.csv),2026-04-08T15:37:55Z,SIT='CANCELADA' — fund registration cancelled in CVM legacy cadastro; not found in CVM175 registro (fund did not migrate or was merged)
SPX Nimitz,Multimercados,True,22.345.384/0001-17,SPX Capital,,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
